fid,pc11_state,pc11_distr,pc11_subdi,town_villa,year,Rainfed_cropland,Herbaceous_cover_cropland,Tree_or_shrub_cover_cropland,Irrigated_cropland,Open_evergreen_broadleaved_forest,Closed_evergreen_broadleaved_forest,Open_deciduous_broadleaved_forest,Closed_deciduous_broadleaved_forest,Open_evergreen_needle_leaved_forest,Closed_evergreen_needle_leaved_forest,Open_deciduous_needle_leaved_forest,Closed_deciduous_needle_leaved_forest,Open_mixed_leaf_forest,Closed_mixed_leaf_forest,Shrubland,Evergreen_shrubland,Deciduous_shrubland,Grassland,Lichens_and_mosses,Sparse_vegetation,Sparse_shrubland,Sparse_herbaceous,Swamp,Marsh,Flooded_flat,Saline,Mangrove,Salt_marsh,Tidal_flat,Impervious_surfaces,Bare_areas,Consolidated_bare_areas,Unconsolidated_bare_areas,Water_body,Permanent_ice_and_snow,Filled_value
629225,30,585,05610,Penha-de-Franca,1985,20.28,2.32,,10.91,,7.93,5.60,327.56,,25.18,,,,,26.50,,,19.06,,,,,,1.46,5.07,,,,,11.65,,,,23.58,,
629226,30,585,05610,Salvador do Mundo,1985,52.18,1.12,,24.00,,94.06,5.97,542.39,0.09,247.04,,,,,5.16,,,5.96,,,,,3.92,18.52,99.29,,0.09,,,2.56,,,,102.30,,
629231,30,585,05611,Chorao,1985,141.43,40.74,0.43,39.76,,27.10,2.24,790.97,,49.68,,,,,30.20,,,4.09,,,,,33.05,48.97,121.84,,0.09,,,0.95,,,,430.58,,
629234,30,585,05611,Navelim,1985,42.32,18.06,,10.96,,1.81,3.09,163.21,,2.96,,,,,12.45,,,,,,,,2.41,25.01,151.87,,,,,0.17,,,,219.65,,
629255,30,585,05611,Chimbel,1985,3.49,0.17,,2.08,,5.27,12.91,260.42,,107.87,,,,,0.17,,,5.07,,,,,,5.09,4.95,,,,,4.45,,,,86.98,,
629261,30,585,05611,Panaji,1985,219.14,20.68,,153.53,,32.49,26.05,1411.02,0.17,180.77,,,,,81.24,,,84.51,,,,,3.38,30.95,127.15,,0.09,,,83.43,,,,275.00,,
629292,30,585,05613,Siroli,1985,0.43,0.17,,3.62,,145.48,0.17,115.13,,67.93,,,,,,0.09,,,,,,,,0.09,,,,,,,,,,,,
629293,30,585,05613,Anjunem,1985,0.17,,,0.78,,127.67,0.43,13.50,,19.23,,,,,0.09,1.28,,,,,,,0.17,3.48,19.58,,,,,,,,,12.56,,
629294,30,585,05613,Quelaudem,1985,,,,0.52,,235.84,0.09,12.76,,31.58,,,,,,3.19,,,,,,,0.17,1.57,10.26,,,,,,,,,5.56,,
629295,30,585,05613,Ponsuli,1985,0.34,0.26,,1.35,,242.56,0.09,28.82,,57.62,,,,,0.09,0.69,,,,,,,,0.50,2.08,,,,,,,,,,,
629296,30,585,05613,Choraundem,1985,5.07,1.72,,0.09,,371.55,0.78,136.66,,99.23,,,,,0.34,9.97,,,,,,,,,,,,,,0.43,,,,,,
629297,30,585,05613,Ivrem-Buzruco,1985,12.66,1.29,,0.43,,180.97,0.26,191.03,,85.96,,,,,0.17,11.38,,,,,,,,,,,,,,1.12,,,,,,
629298,30,585,05613,Ivrem-Curdo,1985,6.73,0.09,,0.17,,176.17,,81.81,,99.26,,,,,0.34,1.09,,,,,,,,,,,,,,0.26,,,,,,
629299,30,585,05613,Golauli,1985,0.59,,,0.99,,423.56,0.83,110.94,,93.31,,,,,0.09,8.79,,,,,,,,,,,,,,,,,,,,
629300,30,585,05613,Surla,1985,0.09,,,0.38,,1091.07,1.37,217.93,0.09,135.99,,,,,,24.20,,4.71,,,,,,,,,,,,,,,,,,
629301,30,585,05613,Satrem,1985,0.26,,,1.53,,1900.57,0.60,135.81,,77.65,,,,,,29.88,,,,,,,,,,,,,,,,,,0.13,,
629302,30,585,05613,Derodem,1985,,,,1.36,,1210.97,0.95,61.18,,59.08,,,,,,1.72,,3.56,,,,,,,,,,,,,,,,,,
629303,30,585,05613,Codal,1985,,,,0.89,,1047.68,,84.84,,166.08,,,,,,9.14,,,,,,,,,,,,,,,,,,,,
629304,30,585,05613,Rivem,1985,0.79,,,2.43,,304.39,0.26,54.75,,148.05,,,,,,1.44,,,,,,,,,,,,,,,,,,,,
629305,30,585,05613,Dongurli,1985,31.45,0.43,,20.39,,161.81,1.12,355.77,,254.47,,,,,1.38,0.34,,,,,,,,,,,,,,3.37,,,,,,
629306,30,585,05613,Pale,1985,2.17,0.09,,0.59,,361.00,0.34,234.56,,173.06,,,,,0.26,4.71,,,,,,,,,,,,,,0.63,,,,,,
629307,30,585,05613,Gululem,1985,,,,0.90,,596.97,0.60,21.23,,45.04,,,,,,0.69,,,,,,,0.43,7.45,28.48,,,,,,,,,76.84,,
629308,30,585,05613,Querim,1985,0.34,0.09,,3.61,,716.94,1.03,221.09,,282.04,,,,,0.26,0.96,,,,,,,0.52,1.21,0.17,,,,,2.67,,,,0.69,,
629310,30,585,05613,Saleli,1985,11.12,3.79,,3.47,,171.49,0.26,495.50,,177.93,,,,,5.09,1.47,,,,,,,,,,,,,,0.60,,,,,,
629311,30,585,05613,Zormen,1985,0.60,0.17,,0.09,,346.66,1.38,180.13,,213.85,,,,,,9.99,,,,,,,,,,,,,,,,,,,,
629312,30,585,05613,Dabem,1985,0.60,0.09,,,,142.86,0.34,106.25,,136.71,,,,,,0.37,,,,,,,,,,,,,,,,,,,,
629313,30,585,05613,Compordem,1985,6.30,1.55,,1.34,,222.83,1.03,326.52,,161.46,,,,,1.03,1.33,,,,,,,,,,,,,,1.12,,,,,,
629314,30,585,05613,Edorem,1985,1.38,0.43,,1.20,,31.09,,36.45,,73.97,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
629315,30,585,05613,Naneli,1985,2.52,1.90,,2.14,,89.82,0.43,294.04,,246.50,,,,,0.43,1.12,,,,,,,,,,,,,,0.23,,,,,,
629316,30,585,05613,Carambolim-Brama,1985,0.42,,,4.18,,207.15,0.09,150.25,,134.61,,,,,,0.09,,,,,,,,,,,,,,,,,,,,
629317,30,585,05613,Xelopo-Buzruco,1985,0.43,,,1.12,,28.48,0.26,94.21,,77.63,,,,,,,,,,,,,,,,,,,,,,,,,,
629318,30,585,05613,Sigonem,1985,0.09,0.09,,0.34,,175.25,,46.31,,83.02,,,,,,0.09,,,,,,,,,,,,,,,,,,,,
629319,30,585,05613,Maloli,1985,0.26,,,2.22,,185.73,0.26,167.56,,204.73,,,,,,0.95,,,,,,,,,,,,,,,,,,,,
629320,30,585,05613,Nanorem,1985,0.34,,,1.23,,183.52,0.48,70.74,,89.04,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
629321,30,585,05613,Vainguinim,1985,,,,0.09,,808.53,,11.22,,17.11,,,,,,,,,,,,,,,,,,,,,,,,,,
629322,30,585,05613,Zarani,1985,0.09,,,1.77,,689.08,0.67,24.03,0.09,85.91,,,,,,4.18,,0.16,,,,,1.03,0.83,0.17,,,,,,,,,0.17,,
629323,30,585,05613,Ustem,1985,0.21,,,3.28,,151.76,0.56,132.82,0.26,129.48,,,,,,,,,,,,,0.16,1.08,0.98,,,,,0.09,,,,0.89,,
629324,30,585,05613,Davem,1985,0.60,,,1.16,,180.88,0.34,204.52,,229.91,,,,,,0.17,,,,,,,0.70,1.21,0.43,,,,,0.09,,,,,,
629325,30,585,05613,Bombedem,1985,,,,,,18.21,,13.76,,22.71,,,,,,,,,,,,,,,,,,,,,,,,,,
629326,30,585,05613,Ambedem,1985,,,,1.60,,26.87,,34.68,,52.29,,,,,,,,,,,,,,,,,,,,,,,,,,
629327,30,585,05613,Nagargao,1985,0.10,0.17,,2.14,,37.20,0.26,78.55,,63.02,,,,,,0.46,,,,,,,,,,,,,,,,,,,,
629328,30,585,05613,Satorem,1985,0.22,,,0.58,,30.21,0.09,82.14,,86.91,,,,,,0.06,,,,,,,,,,,,,,0.09,,,,,,
629329,30,585,05613,Mauzi,1985,7.59,1.03,,2.67,,91.04,1.29,256.42,,265.99,,,,,0.52,0.41,,,,,,,,,,,,,,0.86,,,,,,
629330,30,585,05613,Buimpal,1985,4.58,0.52,,0.60,,100.42,0.17,180.35,,131.23,,,,,0.60,,,,,,,,,,,,,,,0.52,,,,,,
629331,30,585,05613,Cumarconda,1985,0.89,0.17,,1.29,,133.74,0.35,101.55,,306.41,,,,,0.34,0.09,,,,,,,,,,,,,,,,,,,,
629339,30,585,05613,Sanvordem,1985,0.03,,,1.01,,99.27,1.03,109.81,,118.77,,,,,,0.34,,,,,,,0.48,1.57,,,,,,,,,,0.41,,
629340,30,585,05613,Sonal,1985,0.36,,,3.68,,63.37,0.17,131.66,,110.66,,,,,0.09,0.25,,0.09,,,,,0.65,1.68,1.95,,,,,,,,,1.52,,
629341,30,585,05613,Codvol,1985,0.17,,,2.89,,826.59,0.01,13.37,,23.16,,,,,,0.10,,,,,,,0.26,,,,,,,,,,,0.26,,
629342,30,585,05613,Pendral,1985,0.09,,,1.54,,1680.86,0.15,21.98,,73.02,,,,,,2.11,,,,,,,0.48,0.37,,,,,,,,,,0.00,,
629343,30,585,05613,Caranzol,1985,6.84,5.52,,3.86,,2848.91,0.34,343.96,,765.14,,,,,0.34,9.02,,0.86,,,,,0.70,1.20,0.95,,,,,0.43,,,,1.38,,
629344,30,585,05613,Carambolim-Bozruco,1985,0.26,0.17,,,,234.85,0.43,97.55,,150.85,,,,,,0.43,,,,,,,,,,,,,,0.09,,,,,,
629345,30,585,05613,Velguem,1985,1.06,0.09,,1.44,,77.82,1.29,209.51,,145.10,,,,,,0.11,,0.17,,,,,0.75,3.39,1.13,,,,,,,,,2.19,,
629356,30,585,05613,Xelopo-Curdo,1985,0.39,,,0.38,,114.16,0.26,143.47,,192.07,,,,,,0.09,,1.98,,,,,,0.09,0.26,,,,,,,,,,,
629357,30,585,05613,Siranguli,1985,2.29,0.26,,,,191.62,,41.94,,77.13,,,,,0.17,1.21,,,,,,,,,,,,,,,,,,,,
629358,30,585,05613,Sirsodem,1985,1.07,,,,,177.11,,66.73,,52.60,,,,,,0.75,,,,,,,,,,,,,,0.09,,,,,,
629359,30,585,05613,Assodem,1985,1.24,0.34,,0.14,,337.37,0.17,69.84,,97.16,,,,,,,,,,,,,,,,,,,,,,,,,,
629360,30,585,05613,Govanem,1985,,,,,,209.41,0.17,44.84,0.09,173.42,,,,,,0.26,,,,,,,,,,,,,,,,,,,,
629361,30,585,05613,Malpona,1985,0.26,,,0.69,,82.02,0.69,137.44,,156.61,,,,,0.26,,,1.90,,,,,,,,,,,,,,,,,,
629362,30,585,05613,Ambeli,1985,,,,0.09,,56.90,,31.34,,126.29,,,,,,,,,,,,,,,,,,,,,,,,,,
629363,30,585,05613,Melauli,1985,0.17,0.17,,4.24,,228.54,0.78,512.47,,874.49,,,,,0.26,0.43,,1.38,,,,,0.60,0.86,0.09,,,,,,,,,,,
629364,30,585,05613,Conquirem,1985,0.75,0.26,,2.27,,94.39,0.44,224.36,,505.34,,,,,3.02,,,2.76,,,,,0.91,1.86,0.89,,,,,,,,,1.20,,
629376,30,585,05614,Gangem,1985,0.62,,,1.11,,160.94,0.26,81.33,,291.76,,,,,0.00,0.09,,,,,,,0.34,0.61,0.60,,,,,0.09,,,,4.25,,
629397,30,585,05614,Usgao,1985,33.16,3.54,,29.49,,362.52,6.03,1255.08,,802.53,,,,,8.45,0.17,,27.03,,,,,7.68,24.72,19.53,,,,,22.27,,,,67.28,,
629472,30,586,05617,Undorna,1985,,1.82,,0.86,,45.64,2.59,339.88,,143.20,,,,,0.69,,,0.35,,,,,0.52,7.42,6.48,,,,,,,,,24.05,,
629493,30,586,05617,Sulcorna,1985,0.09,,,0.09,,463.20,0.35,273.02,,547.05,,,,,0.17,12.57,,0.98,,,,,,,,,,,,,,,,,,
629495,30,586,05617,Cazur,1985,1.47,2.25,,,,463.65,,51.57,,167.48,,,,,0.17,19.14,,,,,,,,,,,,,,,,,,,,
629496,30,586,05617,Mangal,1985,0.95,1.04,,0.43,,778.92,0.09,84.72,,262.02,,,,,0.17,32.14,,0.26,,,,,,,,,,,,,,,,,,
629500,30,586,05618,Piliem,1985,9.90,1.90,,6.86,,265.99,2.94,673.87,,236.86,,,,,7.79,0.17,,38.54,,,,,0.49,3.31,3.66,,,,,5.42,,,,2.05,,
629501,30,586,05618,Darbandora,1985,27.31,10.18,,17.67,,749.72,3.19,1694.23,,1832.71,,,,,19.19,0.86,,95.26,,,,,0.50,4.15,6.39,,,,,0.86,,,,2.43,,
629502,30,586,05618,Sancordem,1985,,,,,,317.19,,78.04,,396.70,,,,,0.09,,,4.05,,,,,,,,,,,,,,,,,,
629503,30,586,05618,Aglote,1985,2.67,0.86,,6.66,,222.01,1.21,562.49,,854.02,,,,,0.69,,,7.56,,,,,0.18,0.43,0.52,,,,,,,,,0.26,,
629504,30,586,05618,Surla,1985,4.14,2.42,,2.81,,4676.66,0.83,479.25,,1330.11,,,,,0.26,15.70,,1.29,,,,,,,,,,,,0.09,,,,,,
629505,30,586,05618,Molem,1985,3.47,0.16,,11.56,,1879.88,0.60,510.66,,1347.83,,,,,0.17,3.26,,2.20,,,,,,,0.00,,,,,0.09,,,,,,
629506,30,586,05618,Caranzol,1985,0.78,0.43,,2.85,,2273.84,3.73,95.31,0.19,186.01,,,,,,8.16,,7.50,,,,,,,,,,,,,,,,,,
629507,30,586,05618,Colem,1985,10.33,3.31,,9.87,,951.64,2.85,872.78,,1146.26,,,,,0.52,0.70,,17.33,,,,,0.60,0.95,1.03,,,,,3.62,,,,0.95,,
629508,30,586,05618,Sigao,1985,12.34,3.51,,5.70,,285.16,2.33,1054.06,0.09,756.60,,,,,2.44,,,39.80,,,,,0.17,1.04,2.16,,,,,0.09,,,,3.80,,
629509,30,586,05618,Sangod,1985,3.90,1.12,,17.07,,359.09,2.43,1316.86,,1226.28,,,,,3.62,0.35,,54.47,,,,,1.19,1.45,0.26,,,,,0.09,,,,,,
629510,30,586,05618,Cormonem,1985,,0.05,,5.05,,26.09,0.28,254.38,,142.71,,,,,,,,0.09,,,,,0.11,0.09,,,,,,,,,,,,
629511,30,586,05618,Codli,1985,78.15,10.03,,17.28,,176.10,1.64,1323.85,0.09,572.89,,,,,27.07,,,120.49,,,,,0.27,3.06,17.53,,,,,0.43,,,,5.57,,
629514,30,586,05618,Bandoli,1985,20.41,5.10,,5.56,,89.89,0.52,576.83,,323.51,,,,,10.25,,,23.93,,,,,0.15,0.17,3.42,,,,,,,,,0.02,,
629517,30,586,05618,Santona,1985,74.15,10.67,,10.39,,7.69,2.09,592.33,,154.01,,,,,19.87,,,77.68,,,,,,0.09,10.28,,,,,0.36,,,,5.59,,
629518,30,586,05618,Calem,1985,3.15,4.44,,11.10,,758.87,0.43,1492.71,,1333.10,,,,,2.24,0.35,,8.63,,,,,0.09,0.43,,,,,,0.17,,,,,,
629519,30,586,05618,Sonauli,1985,0.26,,0.04,0.95,,2460.16,0.26,84.75,,134.01,,,,,,3.37,,0.09,,,,,,,,,,,,,,,,,,
629520,30,586,05618,Boma,1985,,,,,,794.45,,5.62,,19.33,,,,,,0.35,,,,,,,,,,,,,,,,,,,,
629521,30,586,05618,Oxel,1985,,,,,,1007.54,,10.62,,37.62,,,,,,0.17,,,,,,,,,,,,,,,,,,0.09,,
629522,30,586,05618,Dongurli,1985,,,,,,878.00,,42.93,,177.84,,,,,,0.09,,,,,,,,,,,,,,,,,,,,
629523,30,586,05618,Patiem,1985,8.24,1.04,,1.61,,793.16,0.35,233.48,,218.37,,,,,1.73,0.69,,8.97,,,,,,,1.41,,,,,,,,,0.30,,
629524,30,586,05618,Maulinguem,1985,0.17,,,,,212.91,,161.89,,145.80,,,,,,0.09,,0.72,,,,,,,,,,,,,,,,,,
629525,30,586,05618,Dudal,1985,0.26,0.60,,0.09,,84.02,0.17,388.69,,241.86,,,,,1.47,,,5.53,,,,,,,0.26,,,,,,,,,,,
629531,30,586,05618,Xelpem,1985,1.04,0.52,,0.69,,22.40,1.04,189.92,,77.85,,,,,0.35,0.09,,1.18,,,,,3.26,10.85,13.82,,,,,0.58,,,,72.43,,
629532,30,586,05618,Salauli,1985,1.04,5.70,0.09,0.17,,94.02,12.07,367.43,,211.74,,,,,2.16,,,1.54,,,,,2.43,39.28,67.23,,,,,,,,,233.70,,
629533,30,586,05618,Uguem,1985,7.94,1.21,,9.00,,163.29,2.58,903.69,,617.30,,,,,1.05,,,2.66,,,,,0.26,4.90,12.53,,,,,1.98,,,,35.53,,
629534,30,586,05618,Tudou,1985,4.27,0.26,,4.32,,629.46,0.35,287.33,0.26,389.12,,,,,0.78,2.31,,7.86,,,,,0.09,0.35,1.01,,,,,,,,,1.68,,
629535,30,586,05618,Potrem,1985,0.69,0.17,,0.96,,1695.21,0.09,122.09,,328.09,,,,,0.60,4.82,,2.47,,,,,,,,,,,,,,,,,,
629536,30,586,05618,Bati,1985,3.11,0.86,,3.19,,1393.26,2.93,479.71,,961.37,,,,,0.33,1.29,,8.49,,,,,,,,,,,,,,,,,,
629537,30,586,05618,Cumbari,1985,,,,0.44,,2412.29,0.46,68.54,,243.51,,,,,,3.71,,0.35,,,,,,,,,,,,,,,,0.17,,
629538,30,586,05618,Viliena,1985,0.17,,,5.09,,70.91,0.09,114.52,,201.41,,,,,,,,0.09,,,,,,,,,,,,,,,,,,
629539,30,586,05618,Dongor,1985,,,,0.26,,728.31,,14.17,,97.78,,,,,,,,,,,,,,,,,,,,,,,,,,
629540,30,586,05618,Naiquinim,1985,0.17,0.17,,9.51,,261.27,20.35,892.89,0.26,606.40,,,,,0.17,0.52,,5.18,,,,,5.87,39.01,43.62,,,,,0.09,,,,50.67,,
629541,30,586,05618,Porteem,1985,0.09,0.17,,3.01,,198.03,13.74,241.92,,415.60,,,,,,,,,,,,,3.09,58.05,96.85,,,,,,,,,194.35,,
629542,30,586,05618,Curdi,1985,0.43,0.26,,0.09,,261.75,10.71,423.76,0.17,302.30,,,,,,6.05,,4.23,,,,,3.61,51.88,70.87,,,,,,,,,290.74,,
629546,30,586,05618,Vichundrem,1985,,,,4.66,,151.38,0.09,212.10,,696.66,,,,,,21.86,,0.78,,,,,,,,,,,,,,,,,,
629547,30,586,05618,Sigonem,1985,,,,,,2065.82,,3.11,,32.04,,,,,,3.20,,,,,,,,,,,,,,,,,,,,
629548,30,586,05618,Netorli,1985,3.11,0.26,,22.38,,2082.48,0.78,383.27,,1563.29,,,,,0.17,139.03,,1.73,,,,,,,,,,,,0.17,,,,,,
629549,30,586,05618,Nundem,1985,2.42,1.81,,0.09,,561.30,,59.78,,198.92,,,,,0.17,20.02,,0.09,,,,,,,,,,,,,,,,,,
629550,30,586,05618,Verlem,1985,1.04,1.12,,0.86,,3471.89,1.21,142.81,0.43,638.71,,,,,3.28,197.07,,3.28,,,,,,,,,,,,,,,,,,
629556,30,586,05619,Gaodongrem,1985,107.13,53.80,3.06,10.73,,1546.82,1.97,2185.19,0.09,2266.10,,,,,8.27,301.22,,0.09,,,,,0.42,0.17,,,,,,1.10,,,,,,
629557,30,586,05619,Poinguinim,1985,49.24,25.71,23.33,56.36,,348.78,2.94,1493.67,0.43,884.39,,,,,4.40,18.57,,80.64,,,,,1.60,3.66,3.18,,,,,3.41,,,,6.27,,
629559,30,586,05619,Cotigao,1985,77.85,30.27,7.95,11.58,,6976.26,0.78,835.98,0.09,2938.15,,,,,2.61,193.09,,2.38,,,,,,,,,,,,0.35,,,,,,
629225,30,585,05610,Penha-de-Franca,1990,20.28,2.32,,11.00,,7.93,5.60,327.56,,25.18,,,,,26.50,,,19.06,,,,,,1.46,5.41,,,,,11.65,,,,23.16,,
629226,30,585,05610,Salvador do Mundo,1990,52.18,1.12,,24.08,,94.06,5.97,542.39,0.09,247.04,,,,,5.16,,,5.96,,,,,3.74,18.58,97.18,,0.09,,,2.56,,,,104.44,,
629231,30,585,05611,Chorao,1990,144.35,40.74,0.43,41.80,,27.06,2.24,791.11,,49.68,,,,,30.20,,,4.09,,,,,32.74,49.86,148.57,,0.09,,,0.95,,,,398.21,,
629234,30,585,05611,Navelim,1990,42.06,18.06,,10.70,,1.72,3.09,163.04,,2.96,,,,,12.45,,,,,,,,2.24,24.49,150.35,,,,,0.17,,,,222.62,,
629255,30,585,05611,Chimbel,1990,3.49,0.17,,2.08,,5.36,12.91,260.51,,107.87,,,,,0.17,,,5.07,,,,,,5.44,5.45,,,,,4.45,,,,85.96,,
629261,30,585,05611,Panaji,1990,220.86,20.68,,154.05,,32.58,26.05,1412.42,0.17,180.83,,,,,81.24,,,84.51,,,,,3.29,31.08,135.29,,0.09,,,83.43,,,,263.01,,
629292,30,585,05613,Siroli,1990,0.43,0.17,,3.62,,145.48,0.17,115.13,,67.93,,,,,,0.09,,,,,,,,0.09,,,,,,,,,,,,
629293,30,585,05613,Anjunem,1990,0.17,,,0.78,,127.67,0.43,13.50,,19.23,,,,,0.09,1.28,,,,,,,0.17,3.48,19.58,,,,,,,,,12.56,,
629294,30,585,05613,Quelaudem,1990,,,,0.52,,235.84,0.09,12.76,,31.58,,,,,,3.19,,,,,,,0.17,1.57,10.26,,,,,,,,,5.56,,
629295,30,585,05613,Ponsuli,1990,0.34,0.26,,1.35,,242.56,0.09,28.82,,57.62,,,,,0.09,0.69,,,,,,,,0.50,2.08,,,,,,,,,,,
629296,30,585,05613,Choraundem,1990,5.07,1.72,,0.09,,371.55,0.78,136.66,,99.23,,,,,0.34,9.97,,,,,,,,,,,,,,0.43,,,,,,
629297,30,585,05613,Ivrem-Buzruco,1990,12.66,1.29,,0.43,,180.97,0.26,191.03,,85.96,,,,,0.17,11.38,,,,,,,,,,,,,,1.12,,,,,,
629298,30,585,05613,Ivrem-Curdo,1990,6.73,0.09,,0.17,,176.17,,81.81,,99.26,,,,,0.34,1.09,,,,,,,,,,,,,,0.26,,,,,,
629299,30,585,05613,Golauli,1990,0.59,,,0.99,,423.56,0.83,110.94,,93.31,,,,,0.09,8.79,,,,,,,,,,,,,,,,,,,,
629300,30,585,05613,Surla,1990,0.09,,,0.38,,1091.07,1.37,217.93,0.09,135.99,,,,,,24.20,,4.71,,,,,,,,,,,,,,,,,,
629301,30,585,05613,Satrem,1990,0.26,,,1.53,,1900.57,0.60,135.81,,77.65,,,,,,29.88,,,,,,,,,,,,,,,,,,0.13,,
629302,30,585,05613,Derodem,1990,,,,1.36,,1210.97,0.95,61.18,,59.08,,,,,,1.72,,3.56,,,,,,,,,,,,,,,,,,
629303,30,585,05613,Codal,1990,,,,0.89,,1047.68,,84.84,,166.08,,,,,,9.14,,,,,,,,,,,,,,,,,,,,
629304,30,585,05613,Rivem,1990,0.79,,,2.43,,304.39,0.26,54.75,,148.05,,,,,,1.44,,,,,,,,,,,,,,,,,,,,
629305,30,585,05613,Dongurli,1990,31.45,0.43,,20.39,,161.81,1.12,355.77,,254.47,,,,,1.38,0.34,,,,,,,,,,,,,,3.37,,,,,,
629306,30,585,05613,Pale,1990,2.17,0.09,,0.59,,361.00,0.34,234.56,,173.06,,,,,0.26,4.71,,,,,,,,,,,,,,0.63,,,,,,
629307,30,585,05613,Gululem,1990,,,,0.90,,596.97,0.60,21.23,,45.04,,,,,,0.69,,,,,,,0.43,7.45,28.48,,,,,,,,,76.84,,
629308,30,585,05613,Querim,1990,0.34,0.09,,3.61,,716.94,1.03,221.09,,282.04,,,,,0.26,0.96,,,,,,,0.52,1.21,0.17,,,,,2.67,,,,0.69,,
629310,30,585,05613,Saleli,1990,11.12,3.79,,3.47,,171.49,0.26,495.50,,177.93,,,,,5.09,1.47,,,,,,,,,,,,,,0.60,,,,,,
629311,30,585,05613,Zormen,1990,0.60,0.17,,0.09,,346.66,1.38,180.13,,213.85,,,,,,9.99,,,,,,,,,,,,,,,,,,,,
629312,30,585,05613,Dabem,1990,0.60,0.09,,,,142.86,0.34,106.25,,136.71,,,,,,0.37,,,,,,,,,,,,,,,,,,,,
629313,30,585,05613,Compordem,1990,6.30,1.55,,1.34,,222.83,1.03,326.52,,161.46,,,,,1.03,1.33,,,,,,,,,,,,,,1.12,,,,,,
629314,30,585,05613,Edorem,1990,1.38,0.43,,1.20,,31.09,,36.45,,73.97,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
629315,30,585,05613,Naneli,1990,2.52,1.90,,2.14,,89.82,0.43,294.04,,246.50,,,,,0.43,1.12,,,,,,,,,,,,,,0.23,,,,,,
629316,30,585,05613,Carambolim-Brama,1990,0.42,,,4.18,,207.15,0.09,150.25,,134.61,,,,,,0.09,,,,,,,,,,,,,,,,,,,,
629317,30,585,05613,Xelopo-Buzruco,1990,0.43,,,1.12,,28.48,0.26,94.21,,77.63,,,,,,,,,,,,,,,,,,,,,,,,,,
629318,30,585,05613,Sigonem,1990,0.09,0.09,,0.34,,175.25,,46.31,,83.02,,,,,,0.09,,,,,,,,,,,,,,,,,,,,
629319,30,585,05613,Maloli,1990,0.26,,,2.22,,185.73,0.26,167.56,,204.73,,,,,,0.95,,,,,,,,,,,,,,,,,,,,
629320,30,585,05613,Nanorem,1990,0.34,,,1.23,,183.52,0.48,70.74,,89.04,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
629321,30,585,05613,Vainguinim,1990,,,,0.09,,808.53,,11.22,,17.11,,,,,,,,,,,,,,,,,,,,,,,,,,
629322,30,585,05613,Zarani,1990,0.09,,,1.77,,689.08,0.67,24.03,0.09,85.91,,,,,,4.18,,0.16,,,,,1.03,0.83,0.17,,,,,,,,,0.17,,
629323,30,585,05613,Ustem,1990,0.21,,,3.28,,151.76,0.56,132.82,0.26,129.48,,,,,,,,,,,,,0.16,1.08,0.98,,,,,0.09,,,,0.89,,
629324,30,585,05613,Davem,1990,0.60,,,1.16,,180.88,0.34,204.52,,229.91,,,,,,0.17,,,,,,,0.70,1.21,0.43,,,,,0.09,,,,,,
629325,30,585,05613,Bombedem,1990,,,,,,18.21,,13.76,,22.71,,,,,,,,,,,,,,,,,,,,,,,,,,
629326,30,585,05613,Ambedem,1990,,,,1.60,,26.87,,34.68,,52.29,,,,,,,,,,,,,,,,,,,,,,,,,,
629327,30,585,05613,Nagargao,1990,0.10,0.17,,2.14,,37.20,0.26,78.55,,63.02,,,,,,0.46,,,,,,,,,,,,,,,,,,,,
629328,30,585,05613,Satorem,1990,0.22,,,0.58,,30.21,0.09,82.14,,86.91,,,,,,0.06,,,,,,,,,,,,,,0.09,,,,,,
629329,30,585,05613,Mauzi,1990,7.59,1.03,,2.67,,91.04,1.29,256.42,,265.99,,,,,0.52,0.41,,,,,,,,,,,,,,0.86,,,,,,
629330,30,585,05613,Buimpal,1990,4.58,0.52,,0.60,,100.42,0.17,180.35,,131.23,,,,,0.60,,,,,,,,,,,,,,,0.52,,,,,,
629331,30,585,05613,Cumarconda,1990,0.89,0.17,,1.29,,133.74,0.35,101.55,,306.41,,,,,0.34,0.09,,,,,,,,,,,,,,,,,,,,
629339,30,585,05613,Sanvordem,1990,0.03,,,1.01,,99.27,1.03,109.81,,118.77,,,,,,0.34,,,,,,,0.48,1.57,,,,,,,,,,0.41,,
629340,30,585,05613,Sonal,1990,0.36,,,3.68,,63.37,0.17,131.66,,110.66,,,,,0.09,0.25,,0.09,,,,,0.65,1.68,1.95,,,,,,,,,1.52,,
629341,30,585,05613,Codvol,1990,0.17,,,2.89,,826.59,0.01,13.37,,23.16,,,,,,0.10,,,,,,,0.26,,,,,,,,,,,0.26,,
629342,30,585,05613,Pendral,1990,0.09,,,1.54,,1680.86,0.15,21.98,,73.02,,,,,,2.11,,,,,,,0.48,0.37,,,,,,,,,,0.00,,
629343,30,585,05613,Caranzol,1990,6.84,5.52,,3.86,,2848.91,0.34,343.96,,765.14,,,,,0.34,9.02,,0.86,,,,,0.70,1.20,0.95,,,,,0.43,,,,1.38,,
